AccXangle 	 AccYangle
5.245076 	 16.704488
5.875036 	 -10.608931
5.121669 	 -24.013686
2.700667 	 -4.588506
3.020822 	 -9.419951
1.878610 	 -23.594461
1.579961 	 -11.455757
4.436886 	 -10.140034
4.333344 	 -8.033720
7.212123 	 -1.248294
2.491718 	 9.650688
3.329369 	 4.182775
7.300554 	 7.469648
8.972624 	 41.853818
10.587555 	 59.464004
9.564686 	 58.735937
7.669587 	 23.456597
5.884381 	 -40.032412
-3.750209 	 -60.949753
3.085893 	 -74.542223
8.253672 	 -70.909847
10.945289 	 -76.523996
-4.669869 	 -39.931007
2.650430 	 -69.081398
6.411520 	 -63.749700
2.418103 	 -70.778481
5.657998 	 -75.686183
4.863403 	 -66.805805
1.103642 	 -66.480800
0.075809 	 -60.324380
-5.310205 	 6.752538
-6.982013 	 -10.353192
-5.364095 	 -22.971119
-3.783435 	 53.914338
0.830941 	 71.083623
6.763392 	 70.672981
14.114247 	 23.723189
13.359872 	 -50.774249
8.811580 	 -45.681040
5.459777 	 -12.439297
5.432831 	 -26.459219
0.779344 	 -10.211744
3.698610 	 69.230260
3.072767 	 63.288336
0.631272 	 68.125684
2.500529 	 55.331593
-1.867335 	 24.415950
0.266817 	 10.826598
0.106585 	 3.488391
-10.783644 	 31.361623
-12.345369 	 -3.019827
-12.025085 	 -1.816291
4.321648 	 -51.285669
4.131224 	 -66.255769
8.393316 	 -71.443515
14.138977 	 -69.030453
13.819527 	 -51.923651
12.998514 	 -35.946800
12.941006 	 -59.861920
7.868753 	 -49.629377
7.222087 	 -72.335265
10.727072 	 -53.118634
5.969188 	 -39.656113
-3.111523 	 -52.053138
-3.415150 	 -26.780812
-3.837707 	 -54.607166
-3.624162 	 -20.754877
-7.490722 	 -56.182042
-7.802872 	 -56.434626
-13.244565 	 -31.347073
-10.241294 	 -49.004922
-2.816672 	 -31.310045
4.775120 	 -11.596273
3.520855 	 -3.463595
3.527367 	 -12.758988
3.368485 	 -7.083453
3.235737 	 -14.670834
3.482488 	 -3.023712
3.778465 	 -4.175311
3.649683 	 -2.896369
6.965825 	 -8.774509
3.260055 	 -9.698886
3.491476 	 -4.818013
3.345388 	 -6.448033
3.409681 	 -8.941150
3.472815 	 -5.347274
4.127376 	 -9.775440
2.887655 	 -12.857592
3.725283 	 -4.918466
3.905581 	 -14.813388
3.522503 	 -6.504461
3.678199 	 -11.349176
2.927071 	 -9.619694
3.177069 	 -9.758050
3.541116 	 -7.735149
3.349707 	 -6.569966
3.627306 	 -9.573756
3.994195 	 -8.439333
4.008831 	 -10.123225
0.247807 	 -13.320269
3.423439 	 -5.399431
8.571783 	 -1.314812
14.417932 	 50.026811
13.318141 	 69.192547
9.157231 	 64.669825
13.509333 	 64.765859
16.378141 	 53.597818
12.078209 	 42.942992
12.869970 	 29.150253
9.277364 	 29.519866
7.626639 	 11.695458
5.524737 	 5.197412
6.796146 	 12.737478
7.740221 	 -24.998936
7.346165 	 -20.322086
5.049938 	 1.097600
4.862219 	 -20.259111
4.653597 	 -15.847154
5.450907 	 13.866117
3.200726 	 -1.444278
2.737668 	 -12.621245
5.031809 	 -16.378880
0.101470 	 -11.487362
1.210942 	 -33.469528
0.098615 	 -9.032587
0.112259 	 -7.246480
1.373360 	 -44.719290
1.532579 	 6.481223
1.735841 	 -6.772074
-1.294572 	 -40.756904
2.372193 	 -11.778023
2.128360 	 -4.686244
3.444841 	 -37.275950
2.476245 	 -16.996251
0.962076 	 -42.517861
4.355096 	 -27.076998
-0.140730 	 12.020903
0.713125 	 -36.860508
2.733349 	 -30.693198
0.247681 	 -33.528436
-2.861026 	 -46.840987
-8.145170 	 -40.254507
1.271064 	 -25.134213
3.441045 	 -18.003275
-10.522043 	 -46.234068
-10.766013 	 -60.785087
-12.733093 	 -62.193812
-9.479262 	 -60.207766
-4.234309 	 -55.114859
5.424217 	 -28.325659
10.079617 	 -1.022435
10.409900 	 -6.725588
9.792986 	 -7.223640
9.935001 	 -5.244111
9.581476 	 -9.346486
10.478675 	 -5.860998
10.198636 	 -3.967855
10.537864 	 -5.104526
9.179408 	 -12.161949
10.426238 	 -7.534919
10.251516 	 -9.502179
10.296466 	 -9.033577
10.697990 	 -2.768978
10.292245 	 -7.087938
10.064338 	 -3.326469
10.320828 	 -6.782185
10.001046 	 -3.319608
9.301567 	 -6.568704
9.712150 	 -5.272876
9.518184 	 -10.072682
9.784698 	 -7.493579
9.494228 	 -4.151342
10.493806 	 -6.200960
9.902476 	 -2.780563
10.185967 	 -10.247290
10.532527 	 -4.166823
9.807248 	 -4.665375
10.001935 	 -8.334299
10.685804 	 -10.383077
10.286845 	 -7.166543
10.311111 	 -5.276563
10.037298 	 -4.120730
9.878405 	 -9.248474
10.000933 	 -10.547323
9.623145 	 -12.923081
9.899714 	 -5.482906
10.044923 	 -2.487611
10.282651 	 -9.463824
10.019092 	 -8.101563
9.897319 	 -7.062490
10.588309 	 -7.370328
9.838785 	 -12.585904
9.710709 	 -13.427251
9.694711 	 -14.889741
9.260765 	 -6.790982
10.395564 	 -6.943998
10.669284 	 -5.758739
10.580247 	 -3.769891
10.967770 	 -5.783434
10.124605 	 -3.115064
10.241464 	 -6.615387
10.336731 	 -9.409812
9.749832 	 -12.480745
9.852282 	 -5.748414
10.276063 	 -5.203981
10.084197 	 -5.634618
9.599744 	 -1.298196
10.341425 	 -3.564957
10.088406 	 -13.517301
12.712282 	 4.540112
20.948029 	 40.996134
21.717531 	 38.447900
18.147829 	 -18.012042
16.326260 	 -37.878868
18.208792 	 -30.925451
16.054120 	 -24.549276
13.169106 	 -7.635197
6.103879 	 -17.694820
0.018493 	 -29.506123
-0.649997 	 -10.689434
-0.963019 	 -29.656292
-4.144586 	 -34.297439
-3.348193 	 -18.242906
-1.764120 	 -15.704744
0.664081 	 -12.230571
-0.724342 	 11.258989
-3.206919 	 1.130563
-4.395131 	 -17.513015
-4.232513 	 -33.302739
-8.240708 	 -20.046620
-7.393641 	 -14.644442
-2.313924 	 -20.612900
-5.779725 	 -6.696395
-8.490118 	 -13.445482
-11.635442 	 -16.793455
-4.870963 	 -13.691587
0.816462 	 -15.732313
-0.496204 	 -12.187975
0.454780 	 -15.424643
1.385532 	 -16.298181
0.737089 	 -13.055697
1.941837 	 -17.525761
6.591242 	 -17.454266
12.483779 	 -20.254002
16.039902 	 -19.680614
14.517067 	 -29.467837
16.335217 	 -33.737885
6.874438 	 -9.056767
5.945404 	 23.878819
4.766860 	 -8.557607
0.303914 	 22.490275
12.356153 	 -40.967640
6.057990 	 17.002277
1.823176 	 -0.140673
1.237582 	 3.336571
1.632628 	 9.391168
7.423580 	 -1.436455
7.040044 	 -12.518971
0.300889 	 -13.632243
1.222916 	 -0.151662
-4.151127 	 -26.087027
-2.429386 	 -31.058892
-0.739527 	 -20.772036
-0.323694 	 -13.066778
-0.863173 	 -14.837498
0.591210 	 -17.924746
-3.446504 	 -17.069137
0.442143 	 -18.720311
-3.356038 	 -37.813008
-1.806490 	 -3.012440
-2.983801 	 -33.903330
-2.829233 	 -6.468119
-3.759770 	 -19.132623
0.400527 	 -20.319504
0.240977 	 -0.555418
7.940720 	 -9.710926
10.851986 	 -19.310942
8.428200 	 -26.862376
2.622512 	 -10.764764
2.637308 	 -27.801527
2.810158 	 -20.211015
-2.024187 	 -15.064986
3.317547 	 -12.712094
1.964926 	 -0.458463
4.569947 	 -12.537924
0.054392 	 -12.708118
6.531431 	 -40.812100
5.556983 	 -30.794501
2.423561 	 -17.306245
1.530546 	 -29.576716
2.240307 	 -8.319439
6.143083 	 -13.256781
3.409064 	 -12.233591
2.379057 	 -26.227985
9.032769 	 -5.634739
5.894212 	 -10.987264
5.645818 	 -21.845991
1.182348 	 -13.935169
2.322574 	 -29.484134
0.917754 	 -39.784425
1.129507 	 -9.166060
1.448650 	 -14.178364
0.799514 	 -14.900207
-2.374052 	 -8.377048
0.897963 	 -1.985655
6.266830 	 -7.304615
5.246135 	 -7.654787
10.237866 	 -32.698208
5.865586 	 -8.719919
4.371042 	 -11.019260
4.256681 	 -18.571716
9.252309 	 -27.615016
9.710623 	 -27.086215
5.158941 	 -32.911139
-2.823577 	 -13.382591
0.000002 	 15.178065
2.917639 	 -9.956335
5.757190 	 -22.368109
7.059064 	 -25.589949
0.193453 	 -22.024889
-2.351249 	 -3.079966
-2.501384 	 -2.850635
0.430053 	 -12.973895
2.920107 	 -23.949298
0.161668 	 -2.446031
0.759280 	 -13.594690
-0.457244 	 -30.657987
-4.601393 	 2.881618
-6.005643 	 -25.210144
-2.951885 	 -37.956853
-4.800545 	 -31.526986
-4.192518 	 22.485068
-4.239179 	 15.163705
-6.925126 	 2.261365
-12.555266 	 13.127569
-9.929062 	 -7.640790
-9.439517 	 -16.596315
-13.760025 	 -35.966268
-12.320776 	 -50.506434
-7.875999 	 -48.083490
-3.832012 	 -43.408173
3.274708 	 -20.530967
2.701551 	 -19.248522
2.643874 	 -22.015221
6.732944 	 -4.742653
10.213097 	 8.743914
16.689544 	 22.171364
12.210288 	 -24.514631
14.135051 	 -26.503958
12.726541 	 -59.070183
11.532358 	 -66.724363
